Technique,Model,Mean Loss,Std Loss,Mean Acc
isotonic,Random Forest,104.4,13.11,0.56
sigmoid,Random Forest,107.4,21.43,0.57
isotonic,Linear SVM,113.0,12.46,0.56
sigmoid,Linear SVM,114.0,4.69,0.54
weight_based,Linear SVM,115.0,17.81,0.62
hybrid_cost_ratio,Linear SVM,119.2,9.33,0.54
isotonic,Gaussian NB,121.0,19.81,0.57
weight_based,Gaussian NB,123.0,14.45,0.62
hybrid_cost_ratio,Random Forest,126.2,13.56,0.66
sigmoid,Gaussian NB,130.4,20.24,0.42
hybrid_cost_ratio,Gaussian NB,133.2,17.68,0.58
baseline,Gaussian NB,137.2,14.55,0.64
baseline,Linear SVM,173.0,12.46,0.75
baseline,Random Forest,202.6,6.37,0.76
weight_based,Random Forest,205.8,11.34,0.76
